,Relative CATE Error (percentage),Method
0,0.5467740562247122,MALTS (linear)
1,24.40187857004912,MALTS (linear)
2,9.165403813050858,MALTS (linear)
3,23.678282708258404,MALTS (linear)
4,14.79004682296759,MALTS (linear)
5,8.55831424295719,MALTS (linear)
6,4.143554495113804,MALTS (linear)
7,3.540903365292144,MALTS (linear)
8,5.152674469055759,MALTS (linear)
9,17.547671821879515,MALTS (linear)
10,6.747052117752303,MALTS (linear)
11,5.478171960232993,MALTS (linear)
12,11.542485551675778,MALTS (linear)
13,19.92888103717377,MALTS (linear)
14,12.618778812610465,MALTS (linear)
15,0.5108476321550735,MALTS (linear)
16,4.429712690044314,MALTS (linear)
17,4.942798879076205,MALTS (linear)
18,7.924652692443833,MALTS (linear)
19,5.41893011589518,MALTS (linear)
20,6.161107222130776,MALTS (linear)
21,18.50961786365294,MALTS (linear)
22,32.63733814654362,MALTS (linear)
23,2.81893739380092,MALTS (linear)
24,11.6661448879369,MALTS (linear)
25,4.150712929424461,MALTS (linear)
26,1.7117810867372825,MALTS (linear)
27,7.409664078832331,MALTS (linear)
28,2.518334834732576,MALTS (linear)
29,8.856487812100825,MALTS (linear)
30,5.490585158037183,MALTS (linear)
31,30.613310105130896,MALTS (linear)
32,3.5855430360499776,MALTS (linear)
33,13.345709007160314,MALTS (linear)
34,26.10402895424016,MALTS (linear)
35,21.951368454760576,MALTS (linear)
36,4.0156944036157665,MALTS (linear)
37,7.136478445881478,MALTS (linear)
38,7.974894109534728,MALTS (linear)
39,22.289005716998993,MALTS (linear)
40,5.578110915745687,MALTS (linear)
41,12.357913853785767,MALTS (linear)
42,0.5726650374634159,MALTS (linear)
43,27.195556496701723,MALTS (linear)
44,15.617261276302083,MALTS (linear)
45,4.14455482026349,MALTS (linear)
46,13.639605898463103,MALTS (linear)
47,33.939137136787565,MALTS (linear)
48,7.208597660952297,MALTS (linear)
49,11.359611662912275,MALTS (linear)
50,3.51208183783502,MALTS (linear)
51,8.935136361626418,MALTS (linear)
52,3.224517861924033,MALTS (linear)
53,18.11748367804105,MALTS (linear)
54,3.6264353138948504,MALTS (linear)
55,4.991103505208212,MALTS (linear)
56,7.557376707691987,MALTS (linear)
57,9.531825816313273,MALTS (linear)
58,15.264451213920301,MALTS (linear)
59,13.349631280234018,MALTS (linear)
60,12.208767712803729,MALTS (linear)
61,2.1405141820731735,MALTS (linear)
62,2.5449798312205805,MALTS (linear)
63,2.985740413810622,MALTS (linear)
64,5.645132145528886,MALTS (linear)
65,3.261202131223462,MALTS (linear)
66,4.76447198249553,MALTS (linear)
67,16.69740780947719,MALTS (linear)
68,16.488935951134238,MALTS (linear)
69,24.177393346527705,MALTS (linear)
70,25.27589260305575,MALTS (linear)
71,9.588899814616937,MALTS (linear)
72,5.9092659335199516,MALTS (linear)
73,10.649158832201175,MALTS (linear)
74,6.019842059492533,MALTS (linear)
75,1.2724934422981733,MALTS (linear)
76,6.085888203112657,MALTS (linear)
77,2.30079191257155,MALTS (linear)
78,3.105145629478201,MALTS (linear)
79,39.874034425013335,MALTS (linear)
80,0.9409308530633826,MALTS (linear)
81,15.087435606561971,MALTS (linear)
82,21.871630898936804,MALTS (linear)
83,1.0155017409528666,MALTS (linear)
84,3.455717550695188,MALTS (linear)
85,4.642047242525253,MALTS (linear)
86,7.155676306970475,MALTS (linear)
87,26.350373805618915,MALTS (linear)
88,11.171804736590378,MALTS (linear)
89,11.940475455858257,MALTS (linear)
90,4.052618049307141,MALTS (linear)
91,0.6328616338746096,MALTS (linear)
92,10.333654204670635,MALTS (linear)
93,24.010662625817773,MALTS (linear)
94,1.2944682851989702,MALTS (linear)
95,3.532900177189008,MALTS (linear)
