,Method,Overlap,Overlap (Standardized Difference of Means),Relative CATE Error (percentage)
0,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",357.04449552462773
1,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",26.767929698100364
2,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",46.86313723074901
3,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",12.033861171683746
4,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",11.63499030487133
5,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",48.761340449232634
6,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",57.87802208393823
7,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",11.876085584139247
8,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",55.07009381898952
9,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",29.934621497732895
10,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",12.318502330700923
11,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",4.529237294211281
12,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",34.262473615818756
13,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",15.641235896057523
14,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",6.106366324821039
15,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",6.2906123990330105
16,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",39.17080160860921
17,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",47.68319168346848
18,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",55.28775125966456
19,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",93.30727011796738
20,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",22.518452389908784
21,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",125.05761357473241
22,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",71.30174288945442
23,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",36.752771832361795
24,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",22.08545739464578
25,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",61.413525171971706
26,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",0.8297710449629601
27,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",8.387079500514906
28,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",19.697309481820298
29,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",22.889564756871096
30,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",38.622902401546796
31,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",21.1907380506794
32,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",0.9802281934293271
33,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",32.40110432557465
34,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",10.166289472687218
35,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",0.04360134470948604
36,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",29.686111205995758
37,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",37.80395034936688
38,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",8.061171097587794
39,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",155.91700058631312
40,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",3.1288287887120174
41,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",8.952284764679257
42,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",2.0662872113662543
43,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",45.7581522693152
44,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",13.2875256343725
45,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",20.84608016311938
46,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",13.2502096707332
47,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",26.172134601287734
48,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",9.619358066783795
49,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",55.95060641499232
50,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",7.94580753171936
51,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",38.17732449097861
52,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",10.81642339445229
53,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",3.467405281985118
54,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",81.04388892950334
55,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",19.314644595931384
56,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",39.759388347954264
57,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",5.886976866414794
58,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",44.62811202567105
59,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",10.584095453232486
60,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",6.883496957295588
61,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",2.832172100519783
62,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",27.756956098950454
63,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",6.941781046913999
64,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",3.5209066088945686
65,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",4.532481085638118
66,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",19.681379019041366
67,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",7.55111738440218
68,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",15.941784998002717
69,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",8.413981812146252
70,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",17.216382424541422
71,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",23.395740763594393
72,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",88.44129006395434
73,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",1.5613812225992476
74,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",4.353552286644014
75,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",41.00351060287258
76,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",77.7661153862027
77,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",22.789098730859717
78,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",11.257878118455453
79,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",33.30915388625075
80,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",35.53792429949114
81,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",3.3263442737203177
82,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",23.573189123420914
83,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",85.76295348639546
84,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",61.68998444865309
85,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",8.909679944242027
86,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",46.68077579314666
87,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",45.81775379300985
88,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",31.05907352137444
89,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",1.1770501397326576
90,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",5.308382495071615
91,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",49.186258217789316
92,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",19.369729927812738
93,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",41.39890856231964
94,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",26.580552875439206
95,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",25.312438126437385
96,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",15.164284231998634
97,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",33.91778773453578
98,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",2.365452892076613
99,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",15.809353307211122
100,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",22.98120426246792
101,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",18.449075586087922
102,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",25.011266532389886
103,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",65.00169119573556
104,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",26.59429787740308
105,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",72.39134720342648
106,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",55.47132987464056
107,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",12.109581978097703
108,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",47.398172499778916
109,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",6.550152250532493
110,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",8.827480518437627
111,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",25.304472077515307
112,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",55.85983129134097
113,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",27.14686455175802
114,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",0.46436809590293937
115,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",21.60101133654651
116,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",49.40749802651114
117,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",13.35201869320722
118,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",14.778772727663947
119,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",9.841504235432993
