,Mean Relative CATE Error (percentage),Method,#Units
0,40.43914970710464,MALTS,256
1,51.286026421350776,MALTS,256
2,62.17413504570429,MALTS,256
3,52.45209399820936,MALTS,256
4,50.78274965416908,MALTS,256
5,65.40181071107716,MALTS,256
6,50.11908481147777,MALTS,256
7,70.89395336162437,MALTS,256
8,50.008240394804396,MALTS,256
9,54.32109071147207,MALTS,256
10,54.83338473424874,MALTS,256
11,45.994596338054855,MALTS,256
12,47.072215615745456,MALTS,256
13,62.10067480777291,MALTS,256
14,47.870368866539486,MALTS,256
15,64.21300765574838,MALTS,256
16,52.12256550580292,MALTS,256
17,51.58113068473377,MALTS,256
18,48.4813466715089,MALTS,256
19,48.13595294945456,MALTS,256
20,55.602938588126,MALTS,256
21,57.23304189124587,MALTS,256
22,42.80322050249903,MALTS,256
23,52.517344536503515,MALTS,256
24,59.32760800790873,MALTS,256
25,61.741765614726084,MALTS,256
26,39.78685245605923,MALTS,256
27,53.49800071417093,MALTS,256
28,57.595838100228626,MALTS,256
29,64.32840698597722,MALTS,256
30,47.71418148846864,MALTS,256
31,58.67627119037037,MALTS,256
32,47.11567556432703,MALTS,256
33,37.943484289248005,MALTS,256
34,57.270605464919065,MALTS,256
35,63.19394693937832,MALTS,256
36,54.010507249514184,MALTS,256
37,49.85172023924005,MALTS,256
38,57.33801404092903,MALTS,256
39,50.615577887182866,MALTS,256
40,57.999373087311575,MALTS,256
41,62.15203237733125,MALTS,256
42,44.823808501102306,MALTS,256
43,49.48866299974253,MALTS,256
44,54.664362281073075,MALTS,256
45,41.270338420878026,MALTS,256
46,51.53310873077567,MALTS,256
47,43.00139275843822,MALTS,256
48,57.27851476502717,MALTS,256
49,46.536625683530325,MALTS,256
50,39.5762068132438,MALTS,512
51,34.228780875164475,MALTS,512
52,32.000862516023744,MALTS,512
53,43.99763561871584,MALTS,512
54,32.55904630073409,MALTS,512
55,42.843426939488424,MALTS,512
56,43.03664324363021,MALTS,512
57,35.87133680637384,MALTS,512
58,38.573613659516255,MALTS,512
59,40.672341330609605,MALTS,512
60,35.66344381823018,MALTS,512
61,43.34764012118622,MALTS,512
62,37.147423974541034,MALTS,512
63,38.32101303030779,MALTS,512
64,36.201953340114976,MALTS,512
65,34.79457651614975,MALTS,512
66,34.066598525062915,MALTS,512
67,40.889262496471844,MALTS,512
68,32.31390053534288,MALTS,512
69,38.38715385340579,MALTS,512
70,41.46935010402386,MALTS,512
71,34.65307088884373,MALTS,512
72,36.11876006588737,MALTS,512
73,35.04230951111233,MALTS,512
74,39.50094088811452,MALTS,512
75,35.67101491292121,MALTS,512
76,34.8488161699332,MALTS,512
77,38.685190741163,MALTS,512
78,45.1721828738267,MALTS,512
79,41.58146383583199,MALTS,512
80,35.02524248875652,MALTS,512
81,37.853249699509796,MALTS,512
82,41.57119917544032,MALTS,512
83,40.43500073903509,MALTS,512
84,33.85949062546249,MALTS,512
85,41.821825124882395,MALTS,512
86,32.8740400114784,MALTS,512
87,48.5156600675325,MALTS,512
88,36.983689489098275,MALTS,512
89,44.84581208333217,MALTS,512
90,33.54765431289749,MALTS,512
91,32.970849337431346,MALTS,512
92,34.396292410052126,MALTS,512
93,29.482048873135888,MALTS,512
94,40.04085812196253,MALTS,512
95,39.54983735165373,MALTS,512
96,41.299031828584354,MALTS,512
97,33.36588828628879,MALTS,512
98,33.49244186307926,MALTS,512
99,36.92590680991246,MALTS,512
100,30.256357992525494,MALTS,1024
101,37.87829384454863,MALTS,1024
102,28.308299643372425,MALTS,1024
103,25.629423011894588,MALTS,1024
104,34.433095394949966,MALTS,1024
105,32.44578420299368,MALTS,1024
106,32.65117092162338,MALTS,1024
107,29.266486608648886,MALTS,1024
108,32.46968112585469,MALTS,1024
109,38.16839020620844,MALTS,1024
110,30.271231850053503,MALTS,1024
111,31.22765008180658,MALTS,1024
112,32.136316644546575,MALTS,1024
113,33.88899838347778,MALTS,1024
114,37.178711127947935,MALTS,1024
115,31.105227039169446,MALTS,1024
116,32.49227080605783,MALTS,1024
117,30.18485664065574,MALTS,1024
118,27.441705229653145,MALTS,1024
119,36.6640807499243,MALTS,1024
120,29.97916367940638,MALTS,1024
121,33.46793818589882,MALTS,1024
122,33.30706677278099,MALTS,1024
123,33.283062032667125,MALTS,1024
124,36.133941656482,MALTS,1024
125,38.1517620407187,MALTS,1024
126,31.62343470126914,MALTS,1024
127,34.10395035517472,MALTS,1024
128,39.185517030547004,MALTS,1024
129,28.798879321742767,MALTS,1024
130,28.024197365941568,MALTS,1024
131,28.46209914284982,MALTS,1024
132,35.49958913030456,MALTS,1024
133,35.674546141260564,MALTS,1024
134,29.478659961944402,MALTS,1024
135,31.59511886795747,MALTS,1024
136,31.437035503628756,MALTS,1024
137,28.491393727938416,MALTS,1024
138,37.700320961668226,MALTS,1024
139,31.534729816803452,MALTS,1024
140,28.910905873649426,MALTS,1024
141,32.85512429345994,MALTS,1024
142,31.062513131463934,MALTS,1024
143,32.17016005812697,MALTS,1024
144,33.94272828181585,MALTS,1024
145,27.762519666285407,MALTS,1024
146,30.774526729235088,MALTS,1024
147,36.48917486194529,MALTS,1024
148,30.25343505700521,MALTS,1024
149,30.820293480426226,MALTS,1024
150,26.349585411035278,MALTS,2048
151,28.370311756467167,MALTS,2048
152,25.413693614056157,MALTS,2048
153,28.575338741759026,MALTS,2048
154,29.110477918705953,MALTS,2048
155,26.937429005123853,MALTS,2048
156,27.262902169086985,MALTS,2048
157,28.821088721947863,MALTS,2048
158,26.725492967532826,MALTS,2048
159,29.30480560081778,MALTS,2048
160,26.033982959148453,MALTS,2048
161,26.50936955675124,MALTS,2048
162,26.73225465568,MALTS,2048
163,28.089663529880802,MALTS,2048
164,27.045404027636433,MALTS,2048
165,28.30071490026003,MALTS,2048
166,28.4498203688164,MALTS,2048
167,28.19537298886257,MALTS,2048
168,26.188311950106698,MALTS,2048
169,27.44688611565487,MALTS,2048
170,26.520103643125893,MALTS,2048
171,28.62609440093188,MALTS,2048
172,26.565722464928456,MALTS,2048
173,28.00979972552159,MALTS,2048
174,27.109899372951215,MALTS,2048
175,27.843982247928437,MALTS,2048
176,27.778071956665666,MALTS,2048
177,27.329668375083596,MALTS,2048
178,26.029702320080975,MALTS,2048
179,27.338250277805813,MALTS,2048
180,25.827081514122014,MALTS,2048
181,27.050055662836957,MALTS,2048
182,26.428699348659226,MALTS,2048
183,24.431359175405827,MALTS,2048
184,28.25175289712541,MALTS,2048
185,26.08251561328539,MALTS,2048
186,23.754698697597952,MALTS,2048
187,26.573885571106384,MALTS,2048
188,29.651197702522257,MALTS,2048
189,26.053118703099436,MALTS,2048
190,26.45631635000169,MALTS,2048
191,27.546338500756267,MALTS,2048
192,27.652739435926986,MALTS,2048
193,29.654839909335152,MALTS,2048
194,24.45128282639433,MALTS,2048
195,24.334408264248193,MALTS,2048
196,27.29236737152656,MALTS,2048
197,25.698969038393212,MALTS,2048
198,27.059915422339003,MALTS,2048
199,29.890274571931613,MALTS,2048
200,21.354955105961157,MALTS,4096
201,23.10469792149578,MALTS,4096
202,25.279195103617525,MALTS,4096
203,20.60591471368844,MALTS,4096
204,22.293067742622732,MALTS,4096
205,22.059440550862877,MALTS,4096
206,21.237085685089745,MALTS,4096
207,22.227225945278775,MALTS,4096
208,21.145137805783186,MALTS,4096
209,19.4192359005002,MALTS,4096
210,22.12766390971606,MALTS,4096
211,23.548630583538298,MALTS,4096
