,Mean Relative CATE Error (percentage),Method,#Covariates
0,25.24185050450052,MALTS,2
1,28.511591715067993,MALTS,2
2,20.882643060273043,MALTS,2
3,13.278188646085749,MALTS,2
4,9.687344440042805,MALTS,2
5,19.009225366557104,MALTS,2
6,29.924506986300127,MALTS,2
7,19.589217713749797,MALTS,2
8,15.578172820069927,MALTS,2
9,1.0472464901240457,MALTS,2
10,35.69288169720687,MALTS,2
11,18.53610662745594,MALTS,2
12,10.89345764473661,MALTS,2
13,31.649191085489587,MALTS,2
14,32.80936140004536,MALTS,2
15,28.311087382625395,MALTS,2
16,37.0206350338378,MALTS,2
17,26.603324188183834,MALTS,2
18,26.382315847982042,MALTS,2
19,45.25678315224217,MALTS,2
20,19.938521483909533,MALTS,2
21,35.534711319612434,MALTS,2
22,17.053632097572745,MALTS,2
23,28.00286978924977,MALTS,2
24,28.046842672655846,MALTS,2
25,28.059121562471514,MALTS,2
26,18.441268439417463,MALTS,2
27,27.15019197348404,MALTS,2
28,13.13308204159264,MALTS,2
29,29.41348176537743,MALTS,2
30,27.902162540521992,MALTS,2
31,6.801370230090393,MALTS,2
32,13.275503857555664,MALTS,2
33,14.395838157704503,MALTS,2
34,36.645267850667565,MALTS,2
35,31.202062447950212,MALTS,2
36,5.6017800786530785,MALTS,2
37,32.49793778944244,MALTS,2
38,15.996089544575776,MALTS,2
39,11.587353339572223,MALTS,2
40,20.14918007652606,MALTS,2
41,33.62575218828402,MALTS,2
42,10.355532418761882,MALTS,2
43,16.4940998347451,MALTS,2
44,9.021188378634886,MALTS,2
45,30.034030260880634,MALTS,2
46,31.50864626989894,MALTS,2
47,15.918339861342488,MALTS,2
48,5.556467440275908,MALTS,2
49,21.399832564032003,MALTS,2
50,18.305361664188897,MALTS,4
51,12.445320359392193,MALTS,4
52,7.908050940207509,MALTS,4
53,14.950933304358387,MALTS,4
54,14.196511700118062,MALTS,4
55,18.2876960252882,MALTS,4
56,16.819626867423995,MALTS,4
57,19.037775365198154,MALTS,4
58,14.205601288575597,MALTS,4
59,15.992686901076361,MALTS,4
60,20.24245978478593,MALTS,4
61,11.524145195327025,MALTS,4
62,23.453583362163144,MALTS,4
63,16.286602416600367,MALTS,4
64,11.91960269917462,MALTS,4
65,18.88154093133829,MALTS,4
66,21.76772364575395,MALTS,4
67,16.14543041376794,MALTS,4
68,19.677257170075592,MALTS,4
69,13.417200583400746,MALTS,4
70,15.617107271271642,MALTS,4
71,19.101142068118424,MALTS,4
72,14.648831898223605,MALTS,4
73,15.186360889737408,MALTS,4
74,11.019109181136772,MALTS,4
75,9.44640483702953,MALTS,4
76,2.588735696796183,MALTS,4
77,14.56737589815838,MALTS,4
78,14.555992235692804,MALTS,4
79,8.80573470682396,MALTS,4
80,15.029842955600971,MALTS,4
81,7.323335098111462,MALTS,4
82,18.44067021590156,MALTS,4
83,10.27187005311565,MALTS,4
84,15.955150504723958,MALTS,4
85,10.628718939458649,MALTS,4
86,22.296126873074908,MALTS,4
87,15.659433824266394,MALTS,4
88,17.232583354519356,MALTS,4
89,13.936753859547576,MALTS,4
90,20.928234420358827,MALTS,4
91,17.613070970102115,MALTS,4
92,14.686521575178977,MALTS,4
93,11.066996966441272,MALTS,4
94,9.880705668453238,MALTS,4
95,15.477729306971614,MALTS,4
96,19.41181502133567,MALTS,4
97,12.848234920872073,MALTS,4
98,19.6301100242784,MALTS,4
99,15.742275153239314,MALTS,4
100,17.18137957811953,MALTS,8
101,16.11519314529996,MALTS,8
102,17.33312910498284,MALTS,8
103,15.223944335997956,MALTS,8
104,17.587883565351653,MALTS,8
105,17.148099906558755,MALTS,8
106,15.153718349237561,MALTS,8
107,16.754675502449246,MALTS,8
108,15.381197379305712,MALTS,8
109,16.611144094213458,MALTS,8
110,17.912679223720612,MALTS,8
111,18.53067551397562,MALTS,8
112,16.453596091939975,MALTS,8
113,17.473418103576623,MALTS,8
114,15.658074812171574,MALTS,8
115,16.704569633599988,MALTS,8
116,15.019093851535757,MALTS,8
117,16.669209086713554,MALTS,8
118,16.751251704786455,MALTS,8
119,15.300441860923721,MALTS,8
120,17.50536598787394,MALTS,8
121,18.361270133164098,MALTS,8
122,15.842839086489006,MALTS,8
123,17.631866150417242,MALTS,8
124,17.04953332038498,MALTS,8
125,15.891379254837679,MALTS,8
126,16.887671880885733,MALTS,8
127,14.37418577431475,MALTS,8
128,15.63755834585525,MALTS,8
129,16.456212036471626,MALTS,8
130,16.20226607366897,MALTS,8
131,17.268897950465124,MALTS,8
132,17.8885148220426,MALTS,8
133,17.832231544705934,MALTS,8
134,15.220101403740271,MALTS,8
135,17.76190206803661,MALTS,8
136,17.657650211926022,MALTS,8
137,17.57425430877067,MALTS,8
138,16.28367407242591,MALTS,8
139,16.650200339305666,MALTS,8
140,18.196862980976967,MALTS,8
141,15.471031868883303,MALTS,8
142,18.55657058463023,MALTS,8
143,17.090420991048067,MALTS,8
144,16.96847503529347,MALTS,8
145,16.016689491540024,MALTS,8
146,16.257236452775484,MALTS,8
147,15.467840407206243,MALTS,8
148,16.02029483865147,MALTS,8
149,12.930414167050536,MALTS,8
150,16.103130283589927,MALTS,32
151,15.150033489476568,MALTS,32
152,15.23312075399057,MALTS,32
153,15.980016359888117,MALTS,32
154,14.703996795564407,MALTS,32
155,14.907772436637224,MALTS,32
156,15.738898008498358,MALTS,32
157,14.898721097164655,MALTS,32
158,15.765387975116447,MALTS,32
159,14.289471541584543,MALTS,32
160,15.055177101058003,MALTS,32
161,15.796172561132048,MALTS,32
162,15.593943484558068,MALTS,32
163,14.951647159276726,MALTS,32
164,15.367466764566718,MALTS,32
165,15.897417742823444,MALTS,32
166,14.910812005469847,MALTS,32
167,14.99834073308526,MALTS,32
168,14.691353388743844,MALTS,32
169,16.065777893676685,MALTS,32
170,15.150074810400316,MALTS,32
171,14.219083965203183,MALTS,32
172,14.944595234929364,MALTS,32
173,15.202281701682958,MALTS,32
174,14.805363388307697,MALTS,32
175,14.83059994334538,MALTS,32
176,15.002528483691304,MALTS,32
177,14.525951417705041,MALTS,32
178,14.558172390937973,MALTS,32
179,15.054201861775384,MALTS,32
180,15.074113024011833,MALTS,32
181,15.165551717466478,MALTS,32
182,15.049021050169205,MALTS,32
183,14.833057777745418,MALTS,32
184,15.111683623566613,MALTS,32
185,14.624830557619084,MALTS,32
186,15.519353863297189,MALTS,32
187,15.706511347601646,MALTS,32
188,15.817821134457242,MALTS,32
189,15.279900717097153,MALTS,32
190,15.002832469287563,MALTS,32
191,14.943885613929998,MALTS,32
192,14.300851544893865,MALTS,32
193,14.604651209675936,MALTS,32
194,14.966741159322801,MALTS,32
195,15.071560542834487,MALTS,32
196,14.964322317920145,MALTS,32
197,14.847880226747987,MALTS,32
198,15.33037649043508,MALTS,32
199,15.935343580975601,MALTS,32
200,13.328357415834041,MALTS,256
201,14.832078432673855,MALTS,256
202,13.358473586110657,MALTS,256
203,13.531308590177884,MALTS,256
204,13.640350760453046,MALTS,256
205,12.518446749712918,MALTS,256
206,13.469901713870867,MALTS,256
207,12.752994052450601,MALTS,256
208,13.650108464287708,MALTS,256
209,13.600501847589694,MALTS,256
210,13.655481591824591,MALTS,256
211,13.807448863416116,MALTS,256
212,14.052836626193114,MALTS,256
213,13.003674409813625,MALTS,256
214,12.612186896990382,MALTS,256
215,13.209517447392328,MALTS,256
216,13.03764559447168,MALTS,256
217,12.24229402963686,MALTS,256
218,13.261983774370378,MALTS,256
219,14.331415872584381,MALTS,256
220,13.45794106742372,MALTS,256
221,12.25667552011844,MALTS,256
222,12.669089442730218,MALTS,256
223,12.004030217776455,MALTS,256
224,13.155015559623632,MALTS,256
225,14.375063098588047,MALTS,256
226,13.1933092772398,MALTS,256
227,13.750577274173345,MALTS,256
228,13.839778585672983,MALTS,256
229,14.601208298112624,MALTS,256
230,13.249506165726627,MALTS,256
231,13.356485298447295,MALTS,256
232,12.61562002295201,MALTS,256
233,14.056667066600529,MALTS,256
234,13.089111434872757,MALTS,256
235,13.241190709690347,MALTS,256
236,13.530268499697662,MALTS,256
237,12.506975462215866,MALTS,256
238,12.866903249153806,MALTS,256
239,15.167588307888334,MALTS,256
240,12.22785139748767,MALTS,256
241,13.264971460248752,MALTS,256
242,13.637140883292266,MALTS,256
243,13.932345812189652,MALTS,256
244,13.560724929630211,MALTS,256
245,12.9428646432441,MALTS,256
246,13.295056864860392,MALTS,256
247,13.303997040748936,MALTS,256
248,12.711686122979486,MALTS,256
249,12.367713348719166,MALTS,256
250,10.030262975651192,MALTS,512
251,9.662565360790921,MALTS,512
252,10.386968237560664,MALTS,512
253,9.57939305783188,MALTS,512
254,10.070044060797173,MALTS,512
255,10.07388105020745,MALTS,512
256,10.042148523617456,MALTS,512
257,9.940625828876247,MALTS,512
258,9.946128155531396,MALTS,512
259,10.028570360084917,MALTS,512
260,10.364133352045034,MALTS,512
261,10.189824192491924,MALTS,512
262,10.153212354714135,MALTS,512
263,9.951634441043094,MALTS,512
264,10.168848976450318,MALTS,512
265,9.789013271842931,MALTS,512
266,10.372935617481135,MALTS,512
267,9.540298311484339,MALTS,512
268,10.521462081989611,MALTS,512
269,9.743176885049065,MALTS,512
270,10.429415317385695,MALTS,512
271,10.173721832241915,MALTS,512
272,9.89915012199213,MALTS,512
273,9.720435688387306,MALTS,512
274,9.800248112490973,MALTS,512
275,10.087640141979664,MALTS,512
276,10.202813019616386,MALTS,512
277,10.212861781282932,MALTS,512
278,10.428650023586775,MALTS,512
279,10.046661632704017,MALTS,512
280,9.718117794699811,MALTS,512
281,9.556513203539982,MALTS,512
282,9.934505558539634,MALTS,512
283,10.09246867540964,MALTS,512
284,10.205046677657057,MALTS,512
285,9.738484429175616,MALTS,512
286,9.54568067268011,MALTS,512
287,10.320737097127413,MALTS,512
288,10.300170742439914,MALTS,512
289,9.320128515341596,MALTS,512
290,10.197427286856357,MALTS,512
291,10.073549191974326,MALTS,512
292,10.057004568371697,MALTS,512
293,10.095416266090476,MALTS,512
294,9.814846189287588,MALTS,512
295,9.99796589900769,MALTS,512
296,10.582551291088652,MALTS,512
297,10.000013878634876,MALTS,512
298,9.936942346083107,MALTS,512
299,10.026905856864953,MALTS,512
300,33.59213591087251,BART,2
301,23.745439827314243,BART,2
302,49.53740472302084,BART,2
303,59.44644481350852,BART,2
304,142.19020568553114,BART,2
305,76.19564799147999,BART,2
306,53.24682993859852,BART,2
307,69.45113864926267,BART,2
308,136.1152258574977,BART,2
309,96.72694902090733,BART,2
310,22.79001985670221,BART,2
311,14.602744054009506,BART,2
312,67.2648573078052,BART,2
313,118.44478503901232,BART,2
314,145.73674466230523,BART,2
315,73.01004036193414,BART,2
316,82.72629203565735,BART,2
317,18.76403366751311,BART,2
318,130.596704058448,BART,2
319,95.21326610587008,BART,2
320,184.06342977856468,BART,2
321,50.03764419170493,BART,2
322,79.52050146129893,BART,2
323,65.55627607314726,BART,2
324,75.39596127183925,BART,2
325,80.14656809576593,BART,2
326,87.5575719661136,BART,2
327,64.82271888202456,BART,2
328,108.58236722472694,BART,2
329,47.55712683021913,BART,2
330,106.5130118107435,BART,2
331,84.559811846884,BART,2
332,116.5909817940707,BART,2
333,78.57736205265137,BART,2
334,98.94106755144568,BART,2
335,69.60898712999096,BART,2
336,59.660950268671336,BART,2
337,41.07091213972183,BART,2
338,75.07556717417852,BART,2
339,95.02877644438196,BART,2
340,12.80059939671704,BART,2
341,51.04903040888801,BART,2
342,77.23848533187333,BART,2
343,69.40403720156338,BART,2
344,81.01120665279676,BART,2
345,96.56846416206736,BART,2
346,53.031089362511864,BART,2
347,32.12332692236679,BART,2
348,35.284423275067624,BART,2
