TRAINING SIZE EXPERIMENT
,training set size,num important cov,total num cov,training objective,test err
0,100,5,10,941.1645037992189,0.13577612538060058
0,100,5,10,1850.0343806337212,0.18137768202405644
0,100,5,10,1850.0343806337212,0.18137768202405644
0,100,5,10,1850.0343806337212,0.18137768202405644
0,100,5,10,1850.0343806337212,0.18137768202405644
0,100,5,10,1850.0343806337212,0.18137768202405644
0,100,5,10,1850.0343806337212,0.18137768202405644
0,100,5,10,1850.0343806337212,0.18137768202405644
0,100,5,10,1850.0343806337212,0.18137768202405644
0,100,5,10,1850.0343806337212,0.18137768202405644
0,200,5,10,1032.9611756011784,0.12339233705377221
0,200,5,10,1652.199730841544,0.1267186483324083
0,200,5,10,1652.199730841544,0.1267186483324083
0,200,5,10,1652.199730841544,0.1267186483324083
0,200,5,10,1652.199730841544,0.1267186483324083
0,200,5,10,1652.199730841544,0.1267186483324083
0,200,5,10,1652.199730841544,0.1267186483324083
0,200,5,10,1652.199730841544,0.1267186483324083
0,200,5,10,1652.199730841544,0.1267186483324083
0,200,5,10,1652.199730841544,0.1267186483324083
0,400,5,10,2475.8061667353786,0.12366735689785036
0,400,5,10,1661.0827033143132,0.1303273741305582
0,400,5,10,1661.0827033143132,0.1303273741305582
0,400,5,10,1661.0827033143132,0.1303273741305582
0,400,5,10,1661.0827033143132,0.1303273741305582
0,400,5,10,1661.0827033143132,0.1303273741305582
0,400,5,10,1661.0827033143132,0.1303273741305582
0,400,5,10,1661.0827033143132,0.1303273741305582
0,400,5,10,1661.0827033143132,0.1303273741305582
0,400,5,10,1661.0827033143132,0.1303273741305582
0,800,5,10,2889.8067195990384,0.1286042777256372
0,800,5,10,2427.0214159729217,0.1287683405430617
0,800,5,10,2427.0214159729217,0.1287683405430617
0,800,5,10,2427.0214159729217,0.1287683405430617
0,800,5,10,2427.0214159729217,0.1287683405430617
0,800,5,10,2427.0214159729217,0.1287683405430617
0,800,5,10,2427.0214159729217,0.1287683405430617
0,800,5,10,2427.0214159729217,0.1287683405430617
0,800,5,10,2427.0214159729217,0.1287683405430617
0,800,5,10,2427.0214159729217,0.1287683405430617
0,1600,5,10,5137.837589260832,0.13367869353130646
0,1600,5,10,3799.8712617129754,0.12638836356975033
0,1600,5,10,3799.8712617129754,0.12638836356975033
0,1600,5,10,3799.8712617129754,0.12638836356975033
0,1600,5,10,3799.8712617129754,0.12638836356975033
0,1600,5,10,3799.8712617129754,0.12638836356975033
0,1600,5,10,3799.8712617129754,0.12638836356975033
0,1600,5,10,3799.8712617129754,0.12638836356975033
0,1600,5,10,3799.8712617129754,0.12638836356975033
0,1600,5,10,3799.8712617129754,0.12638836356975033
0,3200,5,10,6517.218001718818,0.16806492627254835
0,3200,5,10,6213.387824599873,0.18492622076020457
0,3200,5,10,6213.387824599873,0.18492622076020457
0,3200,5,10,6213.387824599873,0.18492622076020457
0,3200,5,10,6213.387824599873,0.18492622076020457
0,3200,5,10,6213.387824599873,0.18492622076020457
0,3200,5,10,6213.387824599873,0.18492622076020457
0,3200,5,10,6213.387824599873,0.18492622076020457
0,3200,5,10,6213.387824599873,0.18492622076020457
0,3200,5,10,6213.387824599873,0.18492622076020457
0,6400,5,10,10897.665767284772,0.18504899635195235
0,6400,5,10,10572.314955896372,0.1292901259077528
0,6400,5,10,10572.314955896372,0.1292901259077528
0,6400,5,10,10572.314955896372,0.1292901259077528
0,6400,5,10,10572.314955896372,0.1292901259077528
0,6400,5,10,10572.314955896372,0.1292901259077528
0,6400,5,10,10572.314955896372,0.1292901259077528
0,6400,5,10,10572.314955896372,0.1292901259077528
0,6400,5,10,10572.314955896372,0.1292901259077528
0,6400,5,10,10572.314955896372,0.1292901259077528
