,Method,Relative Error (%)
0,MALTS,19.92404682213214
1,MALTS,5.184131056113853
2,MALTS,0.13495378421504362
3,MALTS,9.0421408444668
4,MALTS,0.5253418937209047
5,MALTS,2.2377406559296484
6,MALTS,10.88479782914995
7,MALTS,17.35947698812621
8,MALTS,8.182864870871844
9,MALTS,13.573280671694748
10,MALTS,14.355368090742765
11,MALTS,0.22137342944249433
12,MALTS,38.50518947201312
13,MALTS,1.8102904924391496
14,MALTS,12.206287259493227
15,MALTS,4.568135235251212
16,MALTS,9.991052130823313
17,MALTS,11.765880856115144
18,MALTS,18.67941293791535
19,MALTS,9.969749461638788
20,MALTS,0.6648186197810882
21,MALTS,9.690346676605861
22,MALTS,3.0248051921826136
23,MALTS,2.519904029500114
24,MALTS,1.181123788690046
25,MALTS,9.813538706509405
26,MALTS,8.498489718374309
27,MALTS,26.62147791923249
28,MALTS,3.092554668865758
29,MALTS,3.1347507162977983
30,MALTS,11.748857581418545
31,MALTS,6.363351134153104
32,MALTS,0.9883569531030723
33,MALTS,6.4082047845192225
34,MALTS,5.888661733645337
35,MALTS,16.1840489089223
36,MALTS,3.320067392306319
37,MALTS,17.905106356381225
38,MALTS,3.7785804459327785
39,MALTS,0.9186490591826092
40,MALTS,10.877327448422374
41,MALTS,9.730772882714243
42,MALTS,1.3259401798915902
43,MALTS,2.5144436556272782
44,MALTS,9.664965365084486
45,MALTS,5.75913441873416
46,MALTS,3.650146800541724
47,MALTS,10.263467225242637
48,MALTS,11.632226321433865
49,MALTS,7.1433373281086485
50,MALTS,7.086630247401328
51,MALTS,2.9276406519161373
52,MALTS,7.939130937211086
53,MALTS,1.7286122561838688
54,MALTS,23.970864221820108
55,MALTS,6.5091209022550025
56,MALTS,20.50530562274088
57,MALTS,17.833093022428784
58,MALTS,0.05193766824845612
59,MALTS,3.9482926962115537
60,MALTS,13.83676388640493
61,MALTS,6.472803032078069
62,MALTS,1.3719014024718514
63,MALTS,11.644610352201452
64,MALTS,23.386076549107965
65,MALTS,4.8359494181582905
66,MALTS,5.741854573926852
67,MALTS,11.577908427455707
68,MALTS,3.887490789714538
69,MALTS,2.035224557736117
70,MALTS,4.682409003480672
71,MALTS,2.719641574192846
72,MALTS,9.664853467468633
73,MALTS,4.301600881041296
74,MALTS,2.5015655074541074
75,MALTS,2.016833019176084
76,MALTS,1.5061823999871802
77,MALTS,8.265184145766504
78,MALTS,3.432628633360128
79,MALTS,4.700450704732752
80,MALTS,6.457946011451019
81,MALTS,4.144388337931006
82,MALTS,10.638696415385702
83,MALTS,0.7709032199355851
84,MALTS,3.2816012801826626
85,MALTS,0.7892163583435176
86,MALTS,0.4730868013364258
87,MALTS,7.185007121276452
88,MALTS,5.3031189858947485
89,MALTS,0.3823995727624604
90,MALTS,8.487307741213607
91,MALTS,4.083784102371172
92,MALTS,9.20393063538179
93,MALTS,14.472683229855294
94,MALTS,6.569527238505623
95,MALTS,2.8620294541329554
96,MALTS,2.573202228744068
97,MALTS,0.9376644753736205
98,MALTS,7.3211994735755
99,MALTS,23.268298074499548
100,MALTS,6.080821966711818
101,MALTS,3.4743678784992085
102,MALTS,1.3433404676551692
103,MALTS,20.36625512618468
104,MALTS,16.156106127590053
105,MALTS,9.252228037977435
106,MALTS,4.515439081208006
107,MALTS,25.98167767252373
108,MALTS,0.5477291968883542
109,MALTS,9.047747772863824
110,MALTS,1.0744609516752073
111,MALTS,5.974777702035111
112,MALTS,6.878069434551633
113,MALTS,1.2586759758062873
114,MALTS,6.208416388110182
115,MALTS,20.563142846509532
116,MALTS,23.604419628245843
117,MALTS,0.921517026082711
118,MALTS,3.1322884322518147
119,MALTS,7.943020688388024
120,MALTS,35.64784707919586
121,MALTS,13.089729171987097
122,MALTS,8.673485942896066
123,MALTS,2.076868814112034
124,MALTS,2.5425452747151236
125,MALTS,13.371678782840124
126,MALTS,3.5996404007410305
127,MALTS,4.403479291800132
128,MALTS,8.614900632037552
129,MALTS,2.487803256597244
130,MALTS,5.463883703974253
131,MALTS,5.8486960517480036
132,MALTS,6.158052226032446
133,MALTS,16.30549205325704
134,MALTS,13.370921309239206
135,MALTS,15.069572870786404
136,MALTS,4.794192647222354
137,MALTS,1.2484103184733921
138,MALTS,19.31863967529934
139,MALTS,2.6872748235529245
140,MALTS,3.9340487821904615
141,MALTS,3.0023420601201254
142,MALTS,2.9631271837483664
143,MALTS,9.421334832127046
144,MALTS,3.1604478438382864
145,MALTS,5.3024966765647985
146,MALTS,5.413168347229837
147,MALTS,9.193028411807417
148,MALTS,1.327472011504331
149,MALTS,12.295355420645967
150,MALTS,8.702325552322042
151,MALTS,12.283706249154779
152,MALTS,3.196936198192885
153,MALTS,11.159156145525529
154,MALTS,0.01487234907879131
155,MALTS,5.200243678100736
156,MALTS,6.587034292714102
157,MALTS,9.01520516621184
158,MALTS,5.538544601819982
159,MALTS,0.05092622367321505
160,MALTS,4.27124340605346
161,MALTS,23.534347386846648
162,MALTS,2.287958037289251
163,MALTS,6.260990737326207
164,MALTS,14.725370080603911
165,MALTS,1.9851016453142183
166,MALTS,11.090326927233024
167,MALTS,7.571680969383868
168,MALTS,7.083977666488776
169,MALTS,7.258680058792353
170,MALTS,0.8043030590121282
171,MALTS,8.917802497243892
172,MALTS,2.4640588973827757
173,MALTS,5.898472805095353
174,MALTS,0.3067304737808062
175,MALTS,3.357810964207735
176,MALTS,7.3945063610288155
177,MALTS,14.536340889065585
178,MALTS,1.725286670309076
179,MALTS,12.59214028212565
180,MALTS,0.7995262918436608
181,MALTS,1.4561333169458817
182,MALTS,2.3238549218344273
183,MALTS,3.337637048036654
184,MALTS,1.8119492036878733
185,MALTS,6.620346108883564
186,MALTS,4.087212239890671
187,MALTS,5.845334118677841
188,MALTS,1.4239387231734724
189,MALTS,1.0558112630119398
190,MALTS,5.674388573918149
191,MALTS,1.7366738732610112
192,MALTS,2.3437017766154455
193,MALTS,5.112629953788562
194,MALTS,1.3089650630905363
195,MALTS,2.0159493245803413
196,MALTS,1.8079583608661793
197,MALTS,5.184435912497751
198,MALTS,1.1550911244538102
199,MALTS,2.840807407366156
200,MALTS,2.2146509971247537
201,MALTS,8.288418186097273
202,MALTS,3.7547866327063537
203,MALTS,0.8838101576773083
204,MALTS,9.561937282233405
205,MALTS,8.867225696711142
206,MALTS,3.738502217839369
207,MALTS,4.096403700473239
208,MALTS,6.408389039092843
209,MALTS,9.189219926561144
210,MALTS,5.908455014439761
211,MALTS,0.7370660926041439
212,MALTS,5.703707795706634
213,MALTS,6.931658654459123
214,MALTS,6.135318676950532
215,MALTS,8.442580831440681
216,MALTS,17.124485126965585
217,MALTS,3.243398340147548
218,MALTS,7.611995160195568
219,MALTS,2.3259227062637486
220,MALTS,14.991996408827971
221,MALTS,4.02982331324856
222,MALTS,26.482190269308436
223,MALTS,7.19220544271435
224,MALTS,3.2200045104758184
225,MALTS,12.18824794751243
226,MALTS,7.344433349545815
227,MALTS,4.686797378759494
228,MALTS,0.9289024925177018
229,MALTS,7.760102268623702
230,MALTS,1.4652526145644826
231,MALTS,0.3323745711550149
232,MALTS,4.435425023468915
233,MALTS,2.375699949093316
234,MALTS,7.121844271763411
235,MALTS,9.560714499416248
236,MALTS,9.072169294621949
237,MALTS,1.9844728062228076
238,MALTS,1.737960482290259
239,MALTS,4.889246946969191
240,MALTS,13.457354949062747
241,MALTS,7.430859421137827
242,MALTS,7.30500728457397
243,MALTS,3.2515842060814806
244,MALTS,29.23359871279598
245,MALTS,1.916682115921846
246,MALTS,14.372482352626944
247,MALTS,0.051225036438809685
248,MALTS,3.572059678794489
249,MALTS,4.905351677003735
250,MALTS,2.89771138573146
251,MALTS,4.903731861679743
252,MALTS,1.1198631342947252
253,MALTS,1.4728771530515816
254,MALTS,0.7979624388229964
255,MALTS,4.8379538582357
256,MALTS,20.21930524962207
257,MALTS,7.7742904794175445
258,MALTS,22.96241858507633
259,MALTS,12.824261261099423
260,MALTS,10.148520833849036
261,MALTS,0.029451023716841034
262,MALTS,0.5828163486378274
263,MALTS,12.05619058027569
264,MALTS,2.2498021314897985
265,MALTS,1.9965667625455645
266,MALTS,17.357821875400617
267,MALTS,7.6054482187667585
268,MALTS,1.9570134564336168
269,MALTS,4.923842232877259
270,MALTS,4.6837189054328885
271,MALTS,1.1657238687996145
272,MALTS,1.8289223833847255
273,MALTS,5.247851330667855
274,MALTS,6.161081213820812
275,MALTS,3.33763193020039
276,MALTS,4.370446357183893
277,MALTS,0.1456129681316531
278,MALTS,3.074240213108566
279,MALTS,9.822767443261512
280,MALTS,2.9080415029419733
281,MALTS,14.822645639287387
282,MALTS,1.3923358935020513
283,MALTS,2.3627550136669466
284,MALTS,17.22934942817343
285,MALTS,3.0595809380667616
286,MALTS,3.78132648897759
287,MALTS,15.212452124253783
288,MALTS,16.390425000511364
289,MALTS,2.714849469098583
290,MALTS,12.13897505929869
291,MALTS,39.68291005779282
292,MALTS,5.176680915844893
293,MALTS,2.875078780683732
294,MALTS,2.4791014039076376
295,MALTS,9.145787130301207
296,MALTS,16.31220602230065
297,MALTS,3.4943493320022263
298,MALTS,2.8792739841158324
299,MALTS,3.4841004132355238
300,MALTS,1.8572536598940526
301,MALTS,0.9291914077307786
302,MALTS,25.390059749008476
303,MALTS,1.1962602294767297
304,MALTS,6.132555499450205
305,MALTS,14.198253230001336
306,MALTS,10.648774003234772
307,MALTS,3.576211411950191
308,MALTS,1.8294015341304828
309,MALTS,4.7403753919897795
310,MALTS,19.592127207226902
311,MALTS,18.941905358003925
312,MALTS,1.1439804523346497
313,MALTS,2.4092033526832903
314,MALTS,3.73629656013825
315,MALTS,6.127151312350574
