,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,CATE,avg.CATE,std.CATE,re78,treat,avg.Diameter,std.gbr.CATE,avg.gbr.CATE,std.gp.CATE,avg.gp.CATE,std.br.CATE,avg.br.CATE
0,5601.506152343751,,1110.1094207763667,3417.833206176758,6486.773025512695,,4903.2041290283205,4376.342148208618,1068.9807189941407,,4343.194580078124,5976.932336425782,,3866.6492309570312,4928.497399902344,4553.192419433594,4427.392407226563,1955.4355285644533,,5099.062985229492,3195.049426269531,3628.705065917969,,8217.472045898438,6385.6022979736335,5112.590075683593,1588.7536987304684,,6794.499926757812,3028.744284057617,5460.038757324219,,5028.860693359376,,6566.5486267089855,-241.96050415039008,,4825.020593261719,4131.000842285157,6061.288000488281,3187.622546386719,,6156.282852172851,5751.047219848633,,5032.4578857421875,5734.451956176758,4172.54743347168,2886.157312011718,,979.2902343750002,3815.0735168457027,,5608.26614074707,5691.411380004883,4974.0248046875,,1852.6362396240238,7314.03330078125,3326.4501190185547,3703.739294433594,4883.012881469727,5553.232351684571,,3687.734091186523,6053.82200012207,2103.316516113281,,4754.343151855468,,4254.469152832031,1594.1881713867188,,6124.170449829102,1847.791882324219,7330.493557739257,6476.943933105468,,5377.1569854736335,4431.251077270507,3564.4953139105205,1112.0993823119625,9930.0458984375,1.0,95.457276243355,1112.0993823119625,3564.4953139105205,81.22100362126541,4324.66783981499,2362.2411670399424,2605.3798255637353
1,956.5158569335936,-1962.0892089843755,,-3527.418908691406,,1065.9518188476563,-3217.577453613281,2006.6501342773436,102.33880615234375,,-3419.9838989257814,-5779.241967773437,539.4822387695312,660.7044067382812,,-1097.5378051757812,1633.288952636719,-2170.3294433593746,,-1609.903942871094,,-2029.020153808593,1079.1271728515621,461.6385864257809,2638.4712280273434,568.839855957031,-449.64971923828125,,-268.0650268554691,2994.432751464844,,-2134.9172485351564,-1049.7990966796874,,117.15679931640625,724.3229125976559,606.8894897460932,-1638.2037353515625,,415.79075927734357,-1434.5697387695318,,1123.5988891601564,-406.2551757812507,3224.9580932617187,1452.9585083007814,167.723876953125,,1716.8221069335941,,-948.7692382812502,-3082.82099609375,-193.93006591796893,,3446.18271484375,1879.6379760742184,1295.666613769531,-1889.2945800781254,,-2247.6312866210938,,-3789.846032714843,2774.849340820313,-1979.2292846679693,-4978.963867187499,792.3132446289064,-2538.0662963867185,,2046.0820434570314,1073.320556640625,537.9930114746094,,-1249.4003234863276,-3184.263696289063,886.5166748046868,,-2423.8148193359375,-1753.933483886719,,1112.4587768554684,662.7426728383022,1264.4639563112605,3595.89404296875,1.0,23.005321768263418,1264.4639563112605,662.7426728383022,79.24307664277818,-365.5452985833479,2337.765596014111,1209.258329772812
2,,4704.417779541016,6509.207916259766,7830.893017578126,,9659.158557128907,4451.865728759766,3256.3836181640627,4254.724755859375,,5541.227301025391,7879.468603515626,10118.410302734375,5799.278033447266,,4314.423590087891,,2657.8873535156235,4771.149462890625,9336.912213134765,9235.991656494141,7440.305279541017,3284.3746826171873,,5021.615679931641,5674.005084228515,,5765.785559082031,,5501.165093994141,5670.435845947266,5827.1874572753895,4123.985943603516,5489.074169921875,4537.9299438476555,,,982.7772460937495,4802.287573242188,5555.618603515625,6064.765252685546,4936.584326171876,,4083.0815002441395,5055.901373291016,5339.585455322265,,2853.286236572266,,5483.04462890625,5686.9794250488285,6894.219140625,,2898.0398559570312,5315.571099853516,3823.238427734375,2846.775305175781,,5235.626318359376,3346.720318603516,2112.4369750976566,4978.4396301269535,4618.65523071289,,3472.84722290039,4690.664849853516,,7102.283935546875,6117.381451416016,6575.404498291015,,8142.62939453125,5236.466955566407,3454.344097900391,,5991.495904541016,5635.002783203125,8082.565771484375,1059.6092346191408,,4152.182040091867,1229.3292393562326,24909.44921875,1.0,24.75941004620265,1229.3292393562326,4152.182040091867,72.55563510871723,4578.130829967132,2357.168014853185,2125.541406185204
3,2724.371051025391,2081.645123291016,,1496.5539794921879,,6805.172961425781,4824.242321777345,-505.415771484375,20.793231201172603,1602.5854892730713,4875.977673339844,,3378.796154785156,1769.985375976562,,2456.434796142578,4469.281597900391,,2101.4692810058596,1194.933184814453,,8852.069006347658,184.32302246093786,3693.227813720703,825.6346374511718,3447.1277526855465,,-213.1140991210932,1592.9715820312504,5318.02117919922,,1345.2794677734378,1464.056561279297,988.2866027832033,,867.1351230621331,5873.625762939453,2189.8100830078124,,5237.164581298828,,4322.445172119141,5158.8978271484375,2030.108819580078,3485.707513427734,6655.592864990235,,2166.133923339844,,-357.35190429687555,858.9253967285158,-1046.5653591156006,4971.57973022461,3077.6044494628904,6522.410540771484,,2182.6395568847665,3578.2941528320307,,3345.3807556152346,8805.31683959961,1980.8074645996094,,1496.4488281249996,,5266.974603271485,3263.2052612304688,5311.129266357422,4214.654168701172,,3009.86879272461,3732.538336181641,,-1349.4096401214601,1233.7822422027593,4500.387310791016,1613.4231811523432,3083.6319824218754,,2337.729455566406,2468.0211244352035,868.6220055074756,7506.14599609375,1.0,10.282446155505339,868.6220055074756,2468.0211244352035,68.89045033004804,2544.949225386651,2352.3500046617464,1815.3499339558011
4,3412.7790100097654,,4077.575619506836,303.0983032226568,3464.793322753906,5937.077212524415,,-918.144314575195,,2001.7304901123048,3412.5411956787107,818.0908813476562,5665.967651367188,5513.609295654297,-95.36430664062482,,5279.606243896484,,3409.198706054687,1748.399740600586,5762.481674194336,4956.145721435547,-1431.6464141845704,,,6072.5894226074215,-59.07215881347656,2244.206408691406,2673.2189758300783,5946.399569702148,5453.317395019532,,5344.4218475341795,-2049.79631652832,481.38065795898456,,2827.4456176757812,2176.0614715576176,,2479.002111816407,4889.468453979493,4254.530374145508,,3574.894787597656,2677.071572875977,5203.157510375976,,6745.937277221679,4282.598046875,2972.2954467773443,3698.792916870117,,2903.5786895751953,2107.5137084960934,,-453.46156311035156,5274.5697967529295,,5470.816198730469,575.5505157470698,3038.2854827880856,3260.2271728515625,,4032.4158660888675,2983.7689178466794,,812.9916961669919,6597.795376586913,,1731.8705810546876,1157.5382476806644,8281.691424560548,5725.552090454101,3510.5519531249997,1900.1219451904299,,481.4103363037102,,3274.2096893310545,1981.96039428711,2616.792995762759,1503.6241666178903,289.7898864746094,1.0,79.64004670104735,1503.6241666178903,2616.792995762759,83.41143303219104,3137.249214204291,2343.26419270315,2067.970000018529
5,,680.9507446289062,3533.838732910156,-224.61549072265643,691.3798583984376,,380.28900146484375,-2778.8257324218753,30.719079589844114,,0.48519287109365905,-2364.0152343749996,,2087.7748901367186,1285.7587524414062,799.4991943359378,,-1108.4052246093752,3074.1381225585938,98.9163940429687,1807.680554199219,-602.9869262695315,-89.10433349609411,,,2663.990856933594,-1534.919812011719,-3211.4642944335938,-268.0650268554691,4119.471740722656,,-198.87845458984384,482.0548339843749,,2605.8786987304693,-1798.2188354492187,1583.1238647460932,,-1439.4597778320312,-269.89522705078116,-550.0114379882816,2350.870031738281,4831.806262207032,,4382.141931152344,,-1151.1591308593747,-261.6548095703124,2903.1847778320316,-470.53568115234384,,-1954.2297851562498,,-1286.5057983398438,4257.125268554687,-1381.507421875,1295.666613769531,,2296.9285278320312,356.4306884765624,,325.7423950195307,3059.1129638671873,-154.1524291992191,,2887.464245605469,-557.8100952148438,2698.3462646484377,2100.2094116210938,1635.0728149414062,,3103.0546752929686,,-3026.4475463867193,2029.5187255859373,4779.525854492188,,-761.8389526367191,-1660.255236816407,505.66226806640634,656.8957236817126,1255.102519943601,4056.493896484375,1.0,19.494461355846266,1255.102519943601,656.8957236817126,68.74059142734176,473.44352210003416,2337.9053067361456,1265.1906143728002
6,3027.879010009766,2213.0177124023435,,5246.828424072266,,1045.5977172851565,4237.440826416016,1705.2502929687498,3847.7197814941405,5162.969122314453,,2211.8591796875,,396.208984375,3453.289508056641,3920.079705810547,2397.6667907714846,2863.92646484375,,3484.9355651855467,1434.4007324218746,,1354.6290039062496,175.65644531249973,2310.595751953125,,4164.738012695312,4571.114532470703,1573.3781311035154,3187.5010375976562,3004.990966796875,,768.9340698242186,,2888.9870361328126,3953.0851257324216,2058.877093505859,2620.5736877441404,,692.4575317382812,4534.627349853516,3345.0043457031247,2568.006372070313,,1719.3783142089842,,2608.260498046875,748.0340209960937,,713.2552612304689,6127.21948852539,2033.6246398925778,829.0810058593747,2301.6251525878906,,4381.8370361328125,630.4530273437499,1499.6101623535155,3089.547631835938,,633.733642578125,,3981.3312377929688,628.9852661132813,2772.719342041016,2123.4734497070312,,2032.955383300781,1654.0052734375,,1719.0719970703126,773.0352661132811,1350.7625732421877,4164.167944335937,,2786.8228637695315,,2810.5011291503906,3672.659057617187,2955.720178222656,2001.4709746111187,1212.5391919418148,0.0,1.0,11.120432716642314,1212.5391919418148,2001.4709746111187,69.3769726182371,2390.3595452731197,2350.7575541835404,1566.6515307733075
7,490.5971099853514,5746.293762207032,,7183.36834716797,,6135.424343872071,6413.554870605468,2163.446203613281,2031.2965698242188,,4193.232489013672,7695.637872314453,,4486.003848266601,-54.57341613769495,7674.924255371094,4670.31647644043,,3740.4591705322273,5559.281051635742,5326.095504760743,2963.8055328369137,352.36484374999964,,4111.679138183594,5025.539932250977,-921.2718017578127,,203.9810699462887,5660.319161987305,4467.516891479493,,3687.259860229493,2701.7429260253903,,2140.833850097657,3851.291061401367,2573.8059020996093,957.2947143554684,,4480.132269287109,,3275.611950683593,6829.763873291016,,4227.4540435791005,4226.161120605469,6740.496499633789,3238.2324432373043,5662.024087524414,4351.975555419922,,1846.2373504638672,4177.215618896485,,2841.0512512207033,4388.516500854492,5678.5577941894535,,3220.6960662841793,1473.981350708008,2376.9004272460943,,3939.653839111328,,4275.142517089844,1712.2760437011716,6571.763589477539,4697.887432861329,,690.3594757080082,7606.154531860351,5457.197622680665,3409.574792480469,,4365.0849731445305,2696.6393676757816,,2998.9685974121094,1726.6064361572262,3724.54198567312,1173.0544868439183,8472.158203125,1.0,42.64447323381914,1173.0544868439183,3724.54198567312,72.35630989150746,3949.65316651227,2357.2927484751963,2214.5569878214415
8,208.543267822266,886.7699768066404,,4758.751220703125,5218.447369384766,,6775.190142822266,337.133056640625,3910.187060546875,3626.846435546875,,3463.6520996093755,3128.9080627441404,-687.8281738281248,402.37703247070294,,835.3963562011722,3251.3497070312496,1495.8091247558596,,1121.9377807617184,,2919.286572265626,941.8398498535162,2827.5867858886713,,6969.008203125,1317.0250000000005,2721.150689697265,,-596.6609863281246,-307.235784912109,,7133.735937500001,2717.874975585938,3387.8173889160153,1213.9069152832035,,3449.051220703126,-555.6170532226561,,5471.986639404297,4832.416888427735,-1141.0286132812498,13.174578857422603,1740.0076843261718,,3517.09585571289,1737.9467834472653,-1073.8375976562493,,5445.204736328125,888.9020446777349,-2.407293701171511,,4839.631396484375,,6267.294219970703,3155.5440673828125,905.7248352050774,2187.644793701172,,1734.2366516113284,-104.17387695312482,,2543.943597412109,699.1110900878903,3215.9673828124996,,8142.4818115234375,2412.1347351074223,-998.1495544433592,3116.7173278808596,419.4534179687498,7673.541894531249,,3788.288818359376,,1324.3726562499996,2241.4547424316406,2795.167197635228,1358.5030485601983,2164.02197265625,1.0,71.78492850533365,1358.5030485601983,2795.167197635228,88.75118066626567,2323.7367500358578,2376.193765305234,1788.7146514349006
9,934.0694885253906,6684.297619628906,,5678.711871337891,6462.2433166503915,5883.8509674072275,5446.692492675782,,2747.677960205079,4446.780334472656,,7853.886090087891,6545.409365844727,7976.214370727539,,7979.558239746094,6293.093551635742,2801.0201965332026,4806.417556762695,,6432.233981323241,6344.344595336914,,3358.8993530273433,6497.823400878906,7360.602603149415,3220.6199859619137,,,7604.559664916992,5531.79460144043,8225.509088134766,,3588.86590270996,3237.237603759765,2498.460717773438,,4135.229302978515,4921.825085449218,3139.4450653076174,,4944.603762817383,5040.23621826172,3048.976641845704,4340.404501342773,,5614.683703613281,7151.622622680663,,4945.119717407226,1985.5559448242193,4387.461431884765,,4797.652575683594,4998.222424316407,5225.754003906251,5083.53092956543,4009.302032470703,6230.522842407227,,,4480.245129394532,8260.646667480469,3085.7282287597654,3792.6198303222664,7903.269860839844,,7979.331875610353,,6621.897009277343,2157.4982025146483,8693.203799438477,6444.23194885254,,1304.2362792968752,6813.575189208985,4406.927081298828,,4374.970739746093,6189.269503784179,3584.147136309307,1269.5634350330579,12418.0703125,1.0,66.78706467704438,1269.5634350330579,3584.147136309307,81.0859266291817,5220.694708668992,2357.949666194477,2296.6930439921057
