,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,outcome,treated
1355,1.881334753,1.684163621,0.532331872,2.002253536,1.435031717,1.450196315,1.974762848,1.321658866,0.709443205,-1.141243907,0.88312997,0.956720529,2.498228772,2.251676996,0.375271121,-0.545128518,3.334220132,0.081258746,-15.67989363,0
1320,0.666476495,1.263064828,0.657557896,0.498779999,1.09613518,1.002569309,0.881916218,0.740391531,2.780857424,-0.765889251,1.230979566,-1.214323557,-0.040029253,1.554477425,4.235512937,3.59621267,0.959022349,0.513408591,-7.068587422,0
1233,-0.193200347,0.961822535,1.6527231,1.117316214,0.59031808,0.56676522,0.775714691,0.938379095,-2.055123621,1.942872777,-0.606074052,3.329551599,-1.822937543,3.240944881,2.106121296,0.857190244,0.577263692,-2.370577596,-5.133199791,0
706,1.378659821,1.794625077,0.701157996,1.815518142,1.12992015,1.1884772,0.845063288,1.217270429,5.847378787,0.566517431,-0.045607419,0.736229933,0.941677228,0.835420411,-0.56038825,0.427255144,2.239002997,-0.632831884,39.68498394,1
438,0.43429725,0.296656181,0.54578525,0.110366434,0.151758161,-0.257326469,0.601964755,0.499884259,-0.973684292,-0.552586131,-0.778476619,0.936956261,0.831105234,2.060039703,3.153798678,0.027664729,0.376857086,-1.221457352,-2.954324002,0
184,0.810493714,0.611021571,0.07559238,0.397066516,0.577099249,0.489679447,1.249714441,0.634145864,2.766689986,0.71257422,1.276528344,-0.114049723,-0.140435843,2.355837106,-1.061777252,-1.660045398,2.714506892,1.563616475,-6.901448865,0
1108,1.279986643,-0.07649368,1.258998593,0.993927661,0.65800804,1.356390633,0.748002559,0.645189057,0.800038186,2.405294236,0.442410489,1.481093871,1.251793881,1.329053265,0.203531568,2.098995826,0.365399543,-1.238974531,-8.654736948,0
1612,1.350073566,1.492691101,0.442632507,0.973446684,1.112601646,1.100748523,0.690453889,0.774645313,-0.24069848,-0.054103564,1.383971897,2.007445651,2.324696699,0.954644722,-1.733198909,0.48082157,-0.052836867,1.214070333,-13.05672985,0
816,0.982552682,0.79764738,0.554189969,0.762870511,0.353607367,0.567995568,1.145271448,0.797603015,2.05434918,0.571262422,0.824729192,0.143352358,0.94927614,1.401648754,0.453319064,3.223980641,-0.271333268,-0.00488898,15.04674045,1
131,1.552758268,0.905666081,1.129729331,1.956733003,1.571449833,1.634514007,2.14744873,1.692597425,1.05366024,-0.200269705,-0.216156175,3.972576988,1.697256952,-1.131464464,2.76339875,-0.168421599,2.308106,2.725952355,-11.97874514,0
1680,0.370085673,0.870016174,0.959162937,1.019539729,1.354121028,0.922235801,0.757751988,0.57903391,1.132831697,1.224516587,1.617003574,-0.215888641,0.402055443,-0.21979323,2.120069406,1.709363207,1.927864447,-1.045654678,-7.557412584,0
541,0.526898593,0.997263443,1.226577948,1.921507763,1.127595309,0.706562467,0.295806389,0.932126416,1.918871946,2.667208339,1.0962045,0.676458428,-0.327216614,-0.051374842,1.306490996,0.369009203,3.887550332,0.561320903,-8.307703518,0
1107,1.486136639,1.458911,1.185413862,1.043697858,1.372331534,1.899539073,1.356391946,1.366883948,2.727865069,0.025199317,1.113675908,1.127405214,1.92956222,1.096633343,1.20317727,2.359734598,3.05760059,-0.102707721,52.76381576,1
1421,1.47085984,2.627251561,1.297472635,1.437007735,1.354970673,1.821808613,1.578351763,2.238938098,-0.846228525,2.177303215,1.015050288,0.171970234,-0.131185211,1.984913749,2.791012524,0.775001637,0.712878005,1.41421432,79.70871315,1
1764,0.805922628,0.463367235,0.80693368,0.592335635,1.366076057,0.712528396,0.549384092,0.642143322,4.468785085,1.556296786,1.650748605,-1.520904578,1.13524075,3.389080314,0.532010438,-1.39554498,0.014530353,0.2422853,-5.249179439,0
1049,0.69148292,1.298775291,1.058660233,0.403904335,0.403430676,0.883739372,0.922893147,1.374645889,-0.218187912,1.288376052,1.192732334,1.06489863,0.059654307,0.152940104,1.155490907,2.991349791,3.444084579,-2.223566394,-6.508621354,0
