,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,outcome,treated
452,1.819048285,1.647819118,1.308952644,1.734019277,0.855117871,1.97711851,1.350102252,1.680755742,1.461630194,0.182235558,1.814832194,2.41466348,1.349697377,1.689331556,1.908061935,0.213754467,1.995093385,0.229469763,65.35791327,1
470,0.391609332,1.680689,0.800403179,0.966429536,0.520767286,0.509780654,1.089566885,1.135084351,1.573440106,2.104324571,2.164498069,0.770808099,2.872846814,1.335996302,1.92255931,1.194345755,1.144124655,0.786834335,-8.77379057,0
311,2.002644173,1.936058439,1.684250348,1.817321392,2.370024571,2.194188577,1.50682768,2.023797864,-1.818878421,-0.173792813,-1.10330759,-1.182928706,-0.728503118,1.144822829,1.438420368,2.33008218,1.169830937,0.95577753,-15.04491344,0
243,0.944754408,1.165707885,0.932395725,1.807640053,0.532053145,0.527254083,0.537563363,0.692489549,-1.447944148,-1.974136461,2.079437613,1.496016053,0.418019282,3.421551717,-1.644335816,0.551144776,0.577592011,0.262999655,-5.346793664,0
155,2.390528036,1.50904445,1.675888569,1.58936214,1.636131284,1.678245885,1.755177705,1.31211914,-2.048744958,0.335747569,2.007165808,2.626541921,1.41470279,0.826677841,2.482559633,1.616940983,0.059489892,0.780915615,-17.35255387,0
454,0.853593043,0.763600853,1.31985546,1.025529424,1.693461051,1.792162309,1.199537907,1.884394382,1.964810713,1.314654702,0.52927628,1.016556007,-0.255281393,1.950847211,4.25880361,-0.964409961,1.836499821,-0.204015072,51.07614504,1
322,0.671518754,0.902497069,0.186936957,0.668876122,0.13756162,-0.087997397,0.811785663,1.030509547,2.172977916,1.197368191,3.004854258,2.820616207,1.64947599,2.163234414,2.804799723,0.261839291,5.529504394,1.903683897,6.806866722,1
140,1.531263108,1.680953782,0.833192029,0.998189651,1.607685751,1.423448183,1.608641016,1.186095186,0.854041038,1.076370174,4.476822287,3.50751868,1.964901591,-0.14879822,1.38265513,-1.612743526,-0.273264262,2.124624578,49.54923218,1
340,0.154925665,0.79907154,0.628502092,0.396594167,0.031580988,0.524235501,0.866142452,-0.27107421,-1.222618944,2.856929524,-1.3643716,-0.323159282,3.58490742,0.151778049,0.900960252,-0.752277636,0.005731254,2.158372874,-4.251282123,0
227,1.973456302,0.626237492,0.405088031,0.603686602,0.615508731,0.817470852,1.255375656,0.805897496,2.914153402,0.185724002,-0.151412339,-2.057032278,-0.256127133,3.711539104,2.00882725,0.378426715,1.028588189,1.938125641,-11.46393957,0
432,1.235212701,1.312217932,0.989945392,1.770026523,0.943746168,0.757091547,-0.223922043,0.959811096,0.489864572,-1.030635697,-0.942814125,2.158567512,0.902739055,-0.860115398,3.524192018,2.710236412,-1.28884544,2.223889395,-9.829732375,0
96,1.56733818,0.741835019,0.627895026,0.836042171,0.459856304,0.904603221,0.681479595,0.110970662,1.009670308,1.615371466,0.133486364,0.507647046,2.818544919,-1.147121394,-0.023585232,-0.329694087,0.840146601,1.100995198,-8.096671689,0
321,0.436043185,1.146241556,1.37565841,1.236361697,1.188301852,0.190914485,0.580685293,1.133472127,-1.256788641,0.082203916,1.298014742,2.641914172,2.474192672,0.897909716,-0.568589882,-1.620476852,0.106184179,0.409735062,-4.10494138,0
492,1.347012938,1.475764658,1.517706918,1.039141609,1.943112679,0.983103898,1.54117157,1.249258213,-0.24717003,1.983783342,0.545835767,-1.078288368,1.125952196,-0.337141712,-1.352042974,0.050783202,0.821012308,1.424875488,-10.56124777,0
25,0.793045341,0.844966405,1.380581914,1.202823568,1.196770686,0.293935658,0.930987626,0.645505712,0.201188808,1.790275664,1.613117528,3.417247737,0.723891641,0.726908334,0.469307229,1.155896659,0.326529206,2.732899577,25.20173427,1
188,0.680353989,1.258011546,1.078147275,1.117552716,1.462291195,0.629654537,0.696584111,1.541568154,-2.476674616,0.121219521,0.48943388,3.581791048,0.939453211,0.999141948,2.475587647,2.755690752,-2.082584566,1.898612484,-7.275158346,0
